ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0009 022 051512,0009,022,1725 WESTWOOD AVE,05/15/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30866456, -76.64573706)"
0009 025 030408,0009,025,1719 WESTWOOD AVE,03/04/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30867757, -76.645519)"
0009 031 120508,0009,031,1707 WESTWOOD AVE,12/05/2008,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30868471, -76.64521986)"
0009 032 042817,0009,032,1705 WESTWOOD AVE,04/28/2017,Sandtown-Winchester,Western,7,"(39.30868787, -76.6451699)"
0009 033 082012,0009,033,1703 WESTWOOD AVE,08/20/2012,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30868774, -76.64511791)"
0009 037 081607,0009,037,1722 N MOUNT ST,08/16/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30848991, -76.64516322)"
0009 038 100515,0009,038,1720 N MOUNT ST,10/05/2015,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30845721, -76.64516227)"
0009 040 042717,0009,040,1716 N MOUNT ST,04/27/2017,Sandtown-Winchester,Western,7,"(39.30838998, -76.64515582)"
0002 024 022317,0002,024,1919 W NORTH AVE,02/23/2017,Easterwood,Western,7,"(39.30951351, -76.64873325)"
0003 005 030117,0003,005,1808 N FULTON AVE,03/01/2017,Sandtown-Winchester,Western,7,"(39.30911204, -76.64672851)"
0009 008 022717,0009,008,1715 N FULTON AVE,02/27/2017,Sandtown-Winchester,Western,7,"(39.30833587, -76.64601309)"
0009 041 111104,0009,041,1714 N MOUNT ST,11/11/2004,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30835726, -76.64515807)"
0009 061 111307,0009,061,1703 N BRUCE ST,11/13/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30833071, -76.64544721)"
0009 062 111307,0009,062,1705 N BRUCE ST,11/13/2007,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30836346, -76.64544944)"
0009 063 070109,0009,063,1707 N BRUCE ST,07/01/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.3083961, -76.64544933)"
0009 064 052314,0009,064,1709 N BRUCE ST,05/23/2014,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30842905, -76.64545086)"
0009 066 070209,0009,066,1713 N BRUCE ST,07/02/2009,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30849607, -76.64545515)"
0010 004 121115,0010,004,1708 N CALHOUN ST,12/11/2015,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30818172, -76.64408395)"
0010 010 080617,0010,010,1720 N CALHOUN ST,08/06/2017,Sandtown-Winchester,Western,7,"(39.30832648, -76.64425597)"
0010 035 081616,0010,035,1618 PRESBURY ST,08/16/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30814663, -76.64462733)"
